日期,標題,連結,新聞露出整理,議題分類,議題標籤
2025/05/29,"健康促進學校邊緣化性健康 造成青少年性病飆升
國教盟促教育部啟動青少年性健康緊急方案",20250529【國教行動聯盟新聞稿】,新聞露出27篇,性健康與性教育,青少年性病
2025/06/03,七國專家聚焦毒品危機 大麻與依托咪酯威脅台灣青少年,20250603【國教行動聯盟＆台灣共善促進協會 新聞稿】,新聞露出1篇,菸害與藥物防制,"加熱菸
電子煙
喪屍煙彈
加味菸"
2025/06/05,"學習歷程採計不該成為考驗信任的軍備競賽！
國教盟暨台大張耀文教授呼籲：廢除弊大於利的學習歷程採計，才能確保入學公平性",20250605【國教行動聯盟新聞稿】,新聞露出54篇,教育政策與改革,升學制度
2025/06/10,助神經多樣性青少年獨立 生活導師扮橋梁,20250610【國教行動聯盟新聞稿】,新聞露出12篇,心理健康與神經多樣性,神經多樣性
2025/06/21,"2025台灣青少年神經多樣性生活導師國際研討會登場
從理解到實踐，創造台灣在地的青少年神經多樣性支持制度","20250621【亞東紀念醫院、台灣青少年神經多樣性行動協會、
立法委員林月琴國會辦公室、國教行動聯盟新聞稿】",新聞露出34篇,心理健康與神經多樣性,神經多樣性
2025/06/25,"健康重要，還是錢重要？
解決走私加熱菸應追究菸商責任，而非讓審查放水",20250625【國教行動聯盟＆台灣共善促進協會&拒菸聯盟 新聞稿】,新聞露出19篇,菸害與藥物防制,加熱菸
2025/07/10,"分科測驗倒數24h世紀烏龍──建臺高中報錯23名頂標生 
國教盟轟：教育部、高教司與大考中心勿推卸責任！",20250710【國教行動聯盟新聞稿】,新聞露出55篇,教育政策與改革,升學制度
2025/07/11,"構築未來：打造「兒少家庭部」 跨部治理與政策整合藍圖 論壇
兒少權益不只是保護，支持家庭親職發展才是根本
民團舉辦論壇，呼籲跨部會整合打造「兒少家庭部」",20250711【全國婦兒團體聯盟＆國教行動聯盟＆兒童健康聯盟 新聞稿】,新聞露出8篇,兒童保護與權益,兒家專責單位
2025/07/23,"逾八成愛奇兒暑期學習斷線
國教盟、天使心家族基金會呼籲政府補上教育與照顧的缺口",20250723【財團法人天使心家族社會福利基金會＆國教行動聯盟 聯合新聞稿】,新聞露出19篇,兒童保護與權益,兒少權法
2025/07/31,"沒有暑假的未成年（兒少）照顧者—3%孩子獨力照顧、
82%感孤單，教育部衛福部須即刻行動",20250731【國教行動聯盟新聞稿】,新聞露出12篇,兒童保護與權益,兒少權法
2025/08/19,"從「精液豆漿」到「偽CSE」：教育部開學前把風險帶進教室？
國教署「全面性教育教學指引」十大破口
一旦入校＝隱私外洩、校安爆量、性健康倒退",20250819【國教行動聯盟、台灣性教育學會 聯合新聞稿】,新聞露出34篇,性健康與性教育,性教育改革
2025/08/26,"主動聆聽值得肯定—被慰留後的教育部長2.0是否決心改變？
教育問題不只四題—從「全面性教育教學指引」看見教師專業失守
國教盟呼籲部長中止手冊、公開名單決策鏈、啟動追責",20250826【國教行動聯盟新聞稿】,新聞露出1篇,性健康與性教育,性教育改革
2025/08/28,"「務實、傾聽」-對新內閣閣員提出三點期待
國教盟呼籲新內閣應將兒少權益列為施政重心",20250828【國教行動聯盟新聞稿】,新聞露出4篇,兒童保護與權益,兒少權法
2025/09/15,"「延後上學不能只改鐘點」：
國教盟主張以課綱、配套與家長需求一併檢討",20250915【國教行動聯盟新聞稿】,新聞露出34篇,教育政策與改革,升學制度
2025/10/10,"世界心理健康日：
肯定政策進步，呼籲「災後情緒危機處理」成為政府標配
服務的可近性不只「看診」：先陪伴、後轉介，讓受災孩子與家庭長出心理韌性",20251010【國教行動聯盟、台灣心理健康聯盟 聯合新聞稿】,新聞露出3篇,心理健康與神經多樣性,情緒障礙
2025/10/20,"2025年台灣青少年最關心的十大議題
「分辨網路資訊」高居第1名
國教盟青年部呼籲：列入課綱、師資增能、落實檢核",20251020【國教行動聯盟青年部新聞稿】,新聞露出24篇,校園安全與管理,"3C成癮
手機管理"
2025/10/20,"事實勝過帶風向：加熱菸首日下架　政府執法、兒少優先
國教盟與執法同一陣線：嚴辦違規與年輕化宣傳",20251020【國教行動聯盟新聞稿】,新聞露出83篇,菸害與藥物防制,加熱菸
2025/10/21,"家長×教師×校長×專業團體聯合聲明
捍衛政府執法，拒絕菸商帶風向
力挺依法下架違法加熱菸，堅決守護兒少健康",20251021【國教行動聯盟聯合聲明新聞稿】,新聞露出83篇,菸害與藥物防制,加熱菸
2025/10/24,"第二家日本菸草公司 製造銷售加熱菸也違法展示?
國教行動聯盟向國健署檢舉
重申任何菸品、加熱菸載具 皆不得以任何形式廣告宣傳",20251024【國教行動聯盟新聞稿】,新聞露出7篇,菸害與藥物防制,加熱菸
2025/11/13,"2025年青少年涉詐近17,942人！
國教盟青年部懇請政府重視青少年詐騙問題
把詐騙通報網3.0帶進教室",20251113【國教行動聯盟新聞稿】,新聞露出5篇,教育政策與改革,
2025/11/17,"肯定成立「兒童及家庭署」
民團倡議提升位階、賦予法定統整權
讓兒少政策真正跨部整合",20251117【兒童健康聯盟、國教行動聯盟、全國婦兒團體聯盟 聯合新聞稿】,新聞露出20篇,兒童保護與權益,兒家專責單位
2025/11/17,"8,743 份學生問卷第二名：
青少年陷入菸、毒與心理健康三重危機
新興菸品恐成毒品新管道，78% 藥癮少年合併心理疾患，校園與輔導體系卻跟不上變化
國教盟青年部聯合專家學者提出五大訴求",20251117【國教行動聯盟青年部新聞稿】,新聞露出24篇,菸害與藥物防制,"加熱菸
電子煙
喪屍煙彈
加味菸
藥物濫用"
2025/11/19,"制度要更好，不是更少
支持不適任教師處理修法共識
建立檢核機制  重大案件仍須保留校事會議",20251119【國教行動聯盟、全國家長團體聯盟 聯合新聞稿】,新聞露出50篇,校園安全與管理,校園安全
2025/11/20,"呼應國際兒童人權日 保護兒童隱私權
國教盟呼籲：未成年影像不是內容素材　校園直播需尊重兒少權利與保護程序",20251120【國教行動聯盟新聞稿】,新聞露出13篇,兒童保護與權益,兒少權法
2025/11/22,"國教盟肯定預告修正版本有助處理爭議
根本解決校事會議「小案大辦」現象
應補上「前端把關、單一事實審認、外部專業、限時回覆」",20251122【國教行動聯盟新聞稿】,新聞露出32篇,校園安全與管理,校園安全
2025/12/05,"從「事後追究」轉向「事前預防」不要讓悲劇反覆發生
青少年自殺通報九年增加3.3倍、佔比倍增
國教盟建議參考美國兒科醫學會實施例行篩檢與早期介入",20251205【國教行動聯盟新聞稿】,新聞露出21篇,心理健康與神經多樣性,兒少輕生
2025/12/08,"8742名青少年票選第三名：「遇到性騷擾該怎麼辦？」
性影像被害人過半未成年，卻沒人教他如何預防
國教盟青年部呼籲應補上保護課 ",20251208【國教行動聯盟青年部新聞稿】,新聞露出43篇,性健康與性教育,性影像防護
2025/12/09,肯定跨部會平台啟動，呼籲以兒少視角完善單一入口與校園支持,20251209【國教行動聯盟新聞稿】,新聞露出5篇,兒童保護與權益,兒少權法
2025/12/10,"喪屍煙彈驚爆校園，誰來負責？
國教盟痛批政府怠惰：再不修法，悲劇將會重演",20251210【國教行動聯盟新聞稿】,新聞露出17篇,菸害與藥物防制,喪屍煙彈
2025/12/13,"從理解開始，讓支持成為日常語言
九成支持正名，僅一成具備基本理解
全台首份「神經多樣性社會理解度調查」結果出爐
",20251213【「國教行動聯盟、神經多樣性學生正名小組、青少年神經多樣性行動協會」聯合新聞稿】,新聞露出11篇,心理健康與神經多樣性,神經多樣性
2025/12/16,"校園菸毒與毒駕源頭相同 新興毒品快速變形 毒駕年增8倍
國教盟倡議：用科技反制科技「唾液快篩＋液相層析串聯質譜」兩層式檢測對抗新興毒品",20251216【國教行動聯盟新聞稿】,新聞露出28篇,菸害與藥物防制,"加熱菸
電子煙
喪屍煙彈
加味菸
藥物濫用"
2025/12/18,"台灣的兒少數位保護要前進：
國教盟與一滴優籲教育部兌現行動載具管理承諾",20251218【國教行動聯盟、EdYouth 聯合新聞稿】,新聞露出12篇,校園安全與管理,"3C成癮
手機管理"
2025/12/24,"二審判決引發社會質疑　
國教盟：少年重大暴力案件的量刑，
應比照刑事案件精神，建立透明且可檢核的判斷依據",20251224【國教行動聯盟新聞稿】,新聞露出20篇,校園安全與管理,校園霸凌
